Session,Project Code,Session Message,Session Note,Record#,PIT Tag,SRR Code,Event Type,Length,Weight,Conditional Comments,Text Comments,Event Date,Event Date (PST),Event Site,Life Stage,Brood Year,Migration Year,Spawn Year,Release Site,RKM Mask,RKM Ext,Release Temp,Release Date,Release Date (PST),Tagger,Organization,Capture Method,Mark Method,Mark Temp,Hold Temp,Raceway/Transect/Tank,Hatchery,Stock,Latitude,Longitude,Lat/Long Source,Detail Note,Second PIT Tag,Coded-Wire Tag,Card,Genetic ID,Scale ID,Coloration,Acoustic Tag,Position,Radio Tag,Stubby Dorsal,Other Tag,CRITFC Comments,Marine Mammal,Hook Damage,Injury,Condition,Net Damage
OJD-2020-230-BBA,OJD,L. Breshears Grad Study,Adult Steelhead Acoustic tag study,1,3DD.003D36578F,15U,Mark,850,,AT MT RF,,8/17/2020 6:41,8/17/2020 5:41,BONAFF,Adult,,,,BONAFF,234,,20.5,8/17/2020 6:41,8/17/2020 5:41,BRESHEARS L,ODFW,LADDER,HAND,20.5,20.5,,,,45.650002,-121.93647,GPS,,,,1,,,B,ID:,1,,No,,,No,No,,5,No
OJD-2020-230-BBA,OJD,L. Breshears Grad Study,Adult Steelhead Acoustic tag study,2,3DD.003D365793,15U,Mark,725,,1< AD AT MT RF,,8/17/2020 7:56,8/17/2020 6:56,BONAFF,Adult,,,,BONAFF,234,,20.5,8/17/2020 7:56,8/17/2020 6:56,BRESHEARS L,ODFW,LADDER,HAND,20.5,20.5,,,,45.649872,-121.93647,GPS,,,,1,,,B,ID:,2,,No,,,No,No,,5,No
OJD-2020-230-BBA,OJD,L. Breshears Grad Study,Adult Steelhead Acoustic tag study,3,3DD.003D365761,15U,Mark,775,,AD AT MT RF,,8/17/2020 8:03,8/17/2020 7:03,BONAFF,Adult,,,,BONAFF,234,,20.5,8/17/2020 8:03,8/17/2020 7:03,BRESHEARS L,ODFW,LADDER,HAND,20.5,20.5,,,,45.649818,-121.936089,GPS,,,,1,,,B,ID:,3,,No,,,No,No,,5,No
OJD-2020-230-BBA,OJD,L. Breshears Grad Study,Adult Steelhead Acoustic tag study,4,3DD.003D3657BC,15U,Mark,675,,AD AT MT RF,,8/17/2020 8:12,8/17/2020 7:12,BONAFF,Adult,,,,BONAFF,234,,20.5,8/17/2020 8:12,8/17/2020 7:12,BRESHEARS L,ODFW,LADDER,HAND,20.5,20.5,,,,,,GPS,,,,1,,,B,ID:,4,,No,,,No,No,,5,No
OJD-2020-230-BBA,OJD,L. Breshears Grad Study,Adult Steelhead Acoustic tag study,5,3DD.003D36579D,15U,Mark,580,,AD AT MT RF,,8/17/2020 8:21,8/17/2020 7:21,BONAFF,Adult,,,,BONAFF,234,,20.5,8/17/2020 8:21,8/17/2020 7:21,BRESHEARS L,ODFW,LADDER,HAND,20.5,20.5,,,,,,GPS,,,,1,,,I,ID:,5,,No,,,No,No,,5,No
OJD-2020-230-BBA,OJD,L. Breshears Grad Study,Adult Steelhead Acoustic tag study,6,3DD.003D36578A,35U,Mark,555,,1< AD AT FU MT RF,,8/17/2020 8:22,8/17/2020 7:22,BONAFF,Adult,,,,BONAFF,234,,20.5,8/17/2020 8:22,8/17/2020 7:22,BRESHEARS L,ODFW,LADDER,HAND,20.5,20.5,,,,45.649849,-121.936256,GPS,,,,1,,,B,ID:,1,,Yes,,,No,No,,4,No
OJD-2020-230-BBA,OJD,L. Breshears Grad Study,Adult Steelhead Acoustic tag study,7,3DD.003D365790,15U,Mark,845,,1< AD AT MT RF,,8/17/2020 8:24,8/17/2020 7:24,BONAFF,Adult,,,,BONAFF,234,,20.5,8/17/2020 8:24,8/17/2020 7:24,BRESHEARS L,ODFW,LADDER,HAND,20.5,20.5,,,,45.64959,-121.935829,GPS,,,,1,,,I,ID:,6,,No,,,Yes,No,MM,5,No
OJD-2020-230-BBA,OJD,L. Breshears Grad Study,Adult Steelhead Acoustic tag study,8,3DD.003D3657A7,15U,Mark,735,,AD AT MT RF,,8/17/2020 8:31,8/17/2020 7:31,BONAFF,Adult,,,,BONAFF,234,,20.5,8/17/2020 8:31,8/17/2020 7:31,BRESHEARS L,ODFW,LADDER,HAND,20.5,20.5,,,,45.649811,-121.936211,GPS,,,,1,,,I,ID:,7,,No,,,Yes,No,MM,5,No
OJD-2020-230-BBA,OJD,L. Breshears Grad Study,Adult Steelhead Acoustic tag study,9,3DD.003D365776,15U,Mark,775,,AT MT RF,,8/17/2020 8:34,8/17/2020 7:34,BONAFF,Adult,,,,BONAFF,234,,20.5,8/17/2020 8:34,8/17/2020 7:34,BRESHEARS L,ODFW,LADDER,HAND,20.5,20.5,,,,,,GPS,,,,1,,,B,ID:,8,,No,,,No,No,,5,No
OJD-2020-230-BBA,OJD,L. Breshears Grad Study,Adult Steelhead Acoustic tag study,10,3DD.003D36577E,15U,Mark,750,,AT MT RF,,8/17/2020 8:41,8/17/2020 7:41,BONAFF,Adult,,,,BONAFF,234,,20.5,8/17/2020 8:41,8/17/2020 7:41,BRESHEARS L,ODFW,LADDER,HAND,20.5,20.5,,,,45.649769,-121.936142,GPS,,,,1,,,B,ID:,9,,No,,,No,No,,5,No
