Session,Project Code,Session Message,Session Note,Record#,PIT Tag,SRR Code,Event Type,Length,Weight,Conditional Comments,Text Comments,Event Date,Event Date (PST),Event Site,Life Stage,Brood Year,Migration Year,Spawn Year,Release Site,RKM Mask,RKM Ext,Release Temp,Release Date,Release Date (PST),Tagger,Organization,Capture Method,Mark Method,Mark Temp,Hold Temp,Raceway/Transect/Tank,Hatchery,Stock,Latitude,Longitude,Lat/Long Source,Detail Note,Second PIT Tag,Coded-Wire Tag,Card,Genetic ID,Scale ID,Coloration,Acoustic Tag,Position,Radio Tag,Stubby Dorsal,Other Tag,CRITFC Comments,Marine Mammal,Hook Damage,Injury,Condition,Net Damage
OJD-2020-244-BBA,OJD,L. Breshears Grad Study,Adult Steelhead Acoustic tag study,1,3DD.003D36599D,15U,Mark,930,,AD AT MT RF,,8/31/2020 8:29,8/31/2020 7:29,BONAFF,Adult,,,,BONAFF,234,,19.5,8/31/2020 8:29,8/31/2020 7:29,BRESHEARS L,ODFW,LADDER,HAND,19.5,19.5,,,,,,GPS,,,,1,,,D,ID:,1,,No,,tule,Yes,No,MM,4,No
OJD-2020-244-BBA,OJD,L. Breshears Grad Study,Adult Steelhead Acoustic tag study,2,3DD.003D36596B,15U,Mark,740,,1< AT MT RF,,8/31/2020 8:43,8/31/2020 7:43,BONAFF,Adult,,,,BONAFF,234,,19.5,8/31/2020 8:43,8/31/2020 7:43,BRESHEARS L,ODFW,LADDER,HAND,19.5,19.5,,,,45.64978,-121.935623,GPS,,,,1,,,B,ID:,2,,No,,,No,No,,5,No
OJD-2020-244-BBA,OJD,L. Breshears Grad Study,Adult Steelhead Acoustic tag study,3,3DD.003D365997,15U,Mark,660,,AD AT MT RF,,8/31/2020 8:54,8/31/2020 7:54,BONAFF,Adult,,,,BONAFF,234,,19.5,8/31/2020 8:54,8/31/2020 7:54,BRESHEARS L,ODFW,LADDER,HAND,19.5,19.5,,,,45.649681,-121.935471,GPS,,,,1,,,B,ID:,3,,No,,,Yes,No,MM,4,No
OJD-2020-244-BBA,OJD,L. Breshears Grad Study,Adult Steelhead Acoustic tag study,4,3DD.003D36596F,15U,Mark,815,,AT MT RF,,8/31/2020 9:00,8/31/2020 8:00,BONAFF,Adult,,,,BONAFF,234,,19.5,8/31/2020 9:00,8/31/2020 8:00,BRESHEARS L,ODFW,LADDER,HAND,19.5,19.5,,,,45.64983,-121.935852,GPS,,,,1,,,D,ID:,4,,No,,tule,No,No,LAMP,3,No
OJD-2020-244-BBA,OJD,L. Breshears Grad Study,Adult Steelhead Acoustic tag study,5,3DD.003D365966,15U,Mark,625,,AT MT RF,,8/31/2020 9:10,8/31/2020 8:10,BONAFF,Adult,,,,BONAFF,234,,19.5,8/31/2020 9:10,8/31/2020 8:10,BRESHEARS L,ODFW,LADDER,HAND,19.5,19.5,,,,45.65052,-121.9347,GPS,,,,1,,,D,ID:,5,,No,,,No,No,,5,No
OJD-2020-244-BBA,OJD,L. Breshears Grad Study,Adult Steelhead Acoustic tag study,6,3DD.003D36599A,15U,Mark,790,,1< AD AT B MT PA RF,,8/31/2020 9:15,8/31/2020 8:15,BONAFF,Adult,,,,BONAFF,234,,19.5,8/31/2020 9:15,8/31/2020 8:15,BRESHEARS L,ODFW,LADDER,HAND,19.5,19.5,,,,45.650471,-121.934128,GPS,,,,1,,,B,ID:,6,,No,,,Yes,No,MM,4,No
OJD-2020-244-BBA,OJD,L. Breshears Grad Study,Adult Steelhead Acoustic tag study,7,3DD.003D36598C,15U,Mark,790,,AT MT RF,,8/31/2020 9:21,8/31/2020 8:21,BONAFF,Adult,,,,BONAFF,234,,19.5,8/31/2020 9:21,8/31/2020 8:21,BRESHEARS L,ODFW,LADDER,HAND,19.5,19.5,,,,45.649879,-121.93605,GPS,,,,1,,,D,ID:,7,,No,,tule,No,No,,5,No
OJD-2020-244-BBA,OJD,L. Breshears Grad Study,Adult Steelhead Acoustic tag study,8,3DD.003D365992,15U,Mark,720,,AD AT MT RF,,8/31/2020 9:28,8/31/2020 8:28,BONAFF,Adult,,,,BONAFF,234,,19.5,8/31/2020 9:28,8/31/2020 8:28,BRESHEARS L,ODFW,LADDER,HAND,19.5,19.5,,,,45.649841,-121.935707,GPS,,,,1,,,D,ID:,8,,No,,,No,No,,5,No
OJD-2020-244-BBA,OJD,L. Breshears Grad Study,Adult Steelhead Acoustic tag study,9,3DD.003D365960,15U,Mark,805,,AT MT RF,,8/31/2020 9:30,8/31/2020 8:30,BONAFF,Adult,,,,BONAFF,234,,19.5,8/31/2020 9:30,8/31/2020 8:30,BRESHEARS L,ODFW,LADDER,HAND,19.5,19.5,,,,45.649799,-121.935966,GPS,,,,1,,,D,ID:,9,,No,,tule,No,No,,5,No
OJD-2020-244-BBA,OJD,L. Breshears Grad Study,Adult Steelhead Acoustic tag study,10,3DD.003D365950,15U,Mark,800,,AD AT MT RF,,8/31/2020 9:41,8/31/2020 8:41,BONAFF,Adult,,,,BONAFF,234,,19.5,8/31/2020 9:41,8/31/2020 8:41,BRESHEARS L,ODFW,LADDER,HAND,19.5,19.5,,,,45.649769,-121.936081,GPS,,,,1,,,D,ID:,10,,No,,tule,No,No,,5,No
OJD-2020-244-BBA,OJD,L. Breshears Grad Study,Adult Steelhead Acoustic tag study,11,3DD.003D365963,15U,Mark,775,,<2 AT MT RF,,8/31/2020 9:49,8/31/2020 8:49,BONAFF,Adult,,,,BONAFF,234,,19.5,8/31/2020 9:49,8/31/2020 8:49,BRESHEARS L,ODFW,LADDER,HAND,19.5,19.5,,,,45.649361,-121.936172,GPS,,,,2,,,B,ID:,1,,No,,,No,No,,4,No
OJD-2020-244-BBA,OJD,L. Breshears Grad Study,Adult Steelhead Acoustic tag study,12,3DD.003D365953,15U,Mark,735,,AD AT MT RF,,8/31/2020 9:54,8/31/2020 8:54,BONAFF,Adult,,,,BONAFF,234,,19.5,8/31/2020 9:54,8/31/2020 8:54,BRESHEARS L,ODFW,LADDER,HAND,19.5,19.5,,,,,,GPS,,,,2,,,D,ID:,2,,No,,,No,No,,5,No
OJD-2020-244-BBA,OJD,L. Breshears Grad Study,Adult Steelhead Acoustic tag study,14,3DD.003D3659AC,35U,Mark,655,,<2 AD AT MT PA RF,,8/31/2020 10:14,8/31/2020 9:14,BONAFF,Adult,,,,BONAFF,234,,19.5,8/31/2020 10:14,8/31/2020 9:14,BRESHEARS L,ODFW,LADDER,HAND,19.5,19.5,,,,,,GPS,,,,1,,,B,ID:,1,,Yes,,,Yes,No,MM,3,yes
OJD-2020-244-BBA,OJD,L. Breshears Grad Study,Adult Steelhead Acoustic tag study,15,3DD.003D36596A,15U,Mark,720,,AD AT MT RF,,8/31/2020 10:16,8/31/2020 9:16,BONAFF,Adult,,,,BONAFF,234,,19.5,8/31/2020 10:16,8/31/2020 9:16,BRESHEARS L,ODFW,LADDER,HAND,19.5,19.5,,,,,,GPS,,,,2,,,D,ID:,3,,No,,tule,No,No,,5,No
