Session,Project Code,Session Message,Session Note,Record#,PIT Tag,SRR Code,Event Type,Length,Weight,Conditional Comments,Text Comments,Event Date,Event Date (PST),Event Site,Life Stage,Brood Year,Migration Year,Spawn Year,Release Site,RKM Mask,RKM Ext,Release Temp,Release Date,Release Date (PST),Tagger,Organization,Capture Method,Mark Method,Mark Temp,Hold Temp,Raceway/Transect/Tank,Hatchery,Stock,Latitude,Longitude,Lat/Long Source,Detail Note,Second PIT Tag,Coded-Wire Tag,Card,Genetic ID,Scale ID,Coloration,Acoustic Tag,Position,Radio Tag,Stubby Dorsal,Other Tag,CRITFC Comments,Marine Mammal,Hook Damage,Injury,Condition,Net Damage
OJD-2020-216-BBA,OJD,L. Breshears Grad Study,Adult Steelhead Acoustic tag study,1,3DD.003D365B26,15U,Mark,400,,AD AT MT RF,,8/3/2020 7:18,8/3/2020 6:18,BONAFF,Adult,,,,BONAFF,234,,19.5,8/3/2020 7:18,8/3/2020 6:18,BRESHEARS L,ODFW,LADDER,HAND,19.5,19.5,,,,45.649921,-121.936478,GPS,,,,1,,,B,ID:,1,,No,,,No,No,,5,No
OJD-2020-216-BBA,OJD,L. Breshears Grad Study,Adult Steelhead Acoustic tag study,2,3DD.003D365AEA,15U,Mark,780,,AT MT RF,,8/3/2020 8:13,8/3/2020 7:13,BONAFF,Adult,,,,BONAFF,234,,19.5,8/3/2020 8:13,8/3/2020 7:13,BRESHEARS L,ODFW,LADDER,HAND,19.5,19.5,,,,45.6502,-121.93692,GPS,,,,1,,,B,ID:,2,,No,,,No,No,,5,No
OJD-2020-216-BBA,OJD,L. Breshears Grad Study,Adult Steelhead Acoustic tag study,3,3DD.0077B9AC82,15U,Recapture,765,,1< AT MT RE RF,,8/3/2020 8:20,8/3/2020 7:20,BONAFF,Adult,,,,BONAFF,234,,19.5,8/3/2020 8:20,8/3/2020 7:20,BRESHEARS L,ODFW,LADDER,HAND,19.5,19.5,,,,45.649818,-121.936211,GPS,,,,1,,,B,ID:,3,,No,,Change Event type,No,No,,5,No
OJD-2020-216-BBA,OJD,L. Breshears Grad Study,Adult Steelhead Acoustic tag study,6,3DD.003D365B2E,35U,Mark,680,,1< AD AT FU MT RF,,8/3/2020 9:06,8/3/2020 8:06,BONAFF,Adult,,,,BONAFF,234,,19.5,8/3/2020 9:06,8/3/2020 8:06,BRESHEARS L,ODFW,LADDER,HAND,19.5,19.5,,,,45.649891,-121.936211,GPS,,,,1,,,B,ID:,1,,Yes,,,No,YES,HD,5,YES
OJD-2020-216-BBA,OJD,L. Breshears Grad Study,Adult Steelhead Acoustic tag study,7,3DD.003D365B3D,15U,Mark,645,,AD AT MT RF,,8/3/2020 9:11,8/3/2020 8:11,BONAFF,Adult,,,,BONAFF,234,,19.5,8/3/2020 9:11,8/3/2020 8:11,BRESHEARS L,ODFW,LADDER,HAND,19.5,19.5,,,,45.650291,-121.93676,GPS,,,,1,,,B,ID:,4,,No,,,No,No,,5,No
OJD-2020-216-BBA,OJD,L. Breshears Grad Study,Adult Steelhead Acoustic tag study,8,3DD.003D365B35,35U,Mark,570,,1< AD AT MT PA RF,,8/3/2020 9:17,8/3/2020 8:17,BONAFF,Adult,,,,BONAFF,234,,19.5,8/3/2020 9:17,8/3/2020 8:17,BRESHEARS L,ODFW,LADDER,HAND,19.5,19.5,,,,45.649799,-121.936462,GPS,,,,1,,,B,ID:,2,,Yes,,,No,No,,5,No
OJD-2020-216-BBA,OJD,L. Breshears Grad Study,Adult Steelhead Acoustic tag study,9,3DD.003D365AFB,15U,Mark,815,,AD AT MT RF,,8/3/2020 9:44,8/3/2020 8:44,BONAFF,Adult,,,,BONAFF,234,,19.5,8/3/2020 9:44,8/3/2020 8:44,BRESHEARS L,ODFW,LADDER,HAND,19.5,19.5,,,,45.649761,-121.936203,GPS,,,,1,,,B,ID:,5,,No,,,No,No,,5,No
OJD-2020-216-BBA,OJD,L. Breshears Grad Study,Adult Steelhead Acoustic tag study,10,3DD.003D365B0D,15U,Mark,695,,AD AT MT RF,,8/3/2020 9:47,8/3/2020 8:47,BONAFF,Adult,,,,BONAFF,234,,19.5,8/3/2020 9:47,8/3/2020 8:47,BRESHEARS L,ODFW,LADDER,HAND,19.5,19.5,,,,,,GPS,,,,1,,,B,ID:,6,,No,,,No,No,,5,No
OJD-2020-216-BBA,OJD,L. Breshears Grad Study,Adult Steelhead Acoustic tag study,11,3DD.003D365B1F,15U,Mark,910,,AD AT MT RF,,8/3/2020 9:48,8/3/2020 8:48,BONAFF,Adult,,,,BONAFF,234,,19.5,8/3/2020 9:48,8/3/2020 8:48,BRESHEARS L,ODFW,LADDER,HAND,19.5,19.5,,,,,,GPS,,,,1,,,B,ID:,7,,No,,,No,No,,5,No
OJD-2020-216-BBA,OJD,L. Breshears Grad Study,Adult Steelhead Acoustic tag study,12,3DD.003D365B32,35U,Mark,665,,1< AD AT FU MT RF,,8/3/2020 9:52,8/3/2020 8:52,BONAFF,Adult,,,,BONAFF,234,,19.5,8/3/2020 9:52,8/3/2020 8:52,BRESHEARS L,ODFW,LADDER,HAND,19.5,19.5,,,,45.650028,-121.936371,GPS,,,,1,,,B,ID:,3,,No,,,No,No,,4,YES
