Session,Project Code,Session Message,Session Note,Record#,PIT Tag,SRR Code,Event Type,Length,Weight,Conditional Comments,Text Comments,Event Date,Event Date (PST),Event Site,Life Stage,Brood Year,Migration Year,Spawn Year,Release Site,RKM Mask,RKM Ext,Release Temp,Release Date,Release Date (PST),Tagger,Organization,Capture Method,Mark Method,Mark Temp,Hold Temp,Raceway/Transect/Tank,Hatchery,Stock,Latitude,Longitude,Lat/Long Source,Detail Note,Second PIT Tag,Coded-Wire Tag,Card,Genetic ID,Scale ID,Coloration,Acoustic Tag,Position,Radio Tag,Stubby Dorsal,Other Tag,CRITFC Comments,Marine Mammal,Hook Damage,Injury,Condition,Net Damage
OJD-2020-244-BBA,OJD,L. Breshears Grad Study,Adult Steelhead Acoustic tag study,13,3DD.003DA24FAA,35U,Mark,775,,AT MT PA RF,,8/31/2020 10:02,8/31/2020 9:02,BONAFF,Adult,,,,BONAFF,234,,19.5,8/31/2020 10:02,8/31/2020 9:02,BRESHEARS L,ODFW,LADDER,HAND,19.5,19.5,,,,,,GPS,,,,1,,,B,ID:53981 1356644,1,,No,,odfw only,No,No,,5,No
OJD-2020-244-BBA,OJD,L. Breshears Grad Study,Adult Steelhead Acoustic tag study,23,3DD.003DA24FEE,35U,Mark,665,,<2 AT MT PA RF,,8/31/2020 11:22,8/31/2020 10:22,BONAFF,Adult,,,,BONAFF,234,,19.5,8/31/2020 11:22,8/31/2020 10:22,BRESHEARS L,ODFW,LADDER,HAND,19.5,19.5,,,,,,GPS,,,,1,,,B,ID:53980 1356643,2,,No,,odfw only,No,No,PARADIS,4,No
OJD-2020-244-BBA,OJD,L. Breshears Grad Study,Adult Steelhead Acoustic tag study,35,3DD.003DA24FCF,35U,Mark,745,,1< AT MT PA RF,,8/31/2020 12:22,8/31/2020 11:22,BONAFF,Adult,,,,BONAFF,234,,19.5,8/31/2020 12:22,8/31/2020 11:22,BRESHEARS L,ODFW,LADDER,HAND,19.5,19.5,,,,45.649921,-121.936188,GPS,,,,1,,,B,ID:53979 1356642,3,,No,,odfw only,No,No,PARADIS,4,No
OJD-2020-247-BBA ,OJD,L. Breshears Grad Study,Adult Steelhead Acoustic tag study,12,3DD.003DA24FE4,35U,Mark,745,,AT MT PA RF,,9/3/2020 10:04,9/3/2020 9:04,BONAFF,Adult,,,,BONAFF,234,,20,9/3/2020 10:04,9/3/2020 9:04,BRESHEARS L,ODFW,LADDER,HAND,20,20,,,,45.649879,-121.936241,GPS,,,,1,,,B,ID:53976 1356639,1,,No,,odfw only,No,No,PARADIS,4,No
OJD-2020-247-BBA ,OJD,L. Breshears Grad Study,Adult Steelhead Acoustic tag study,20,3DD.003DA24FD9,35U,Mark,695,,1< AT MT PA RF,,9/3/2020 11:02,9/3/2020 10:02,BONAFF,Adult,,,,BONAFF,234,,20,9/3/2020 11:02,9/3/2020 10:02,BRESHEARS L,ODFW,LADDER,HAND,20,20,,,,45.649818,-121.93644,GPS,,,,1,,,B,ID:53975 1356638,2,,No,,odfw only,No,No,PARADIS,3,No
OJD-2020-247-BBA ,OJD,L. Breshears Grad Study,Adult Steelhead Acoustic tag study,40,3DD.003DA24FFA,35U,Mark,755,,AT MT PA RF,,9/3/2020 12:01,9/3/2020 11:01,BONAFF,Adult,,,,BONAFF,234,,20,9/3/2020 12:01,9/3/2020 11:01,BRESHEARS L,ODFW,LADDER,HAND,20,20,,,,45.650372,-121.936493,GPS,,,,1,,,B,ID:53973 1356636,3,,No,,odfw only,No,No,PARADIS,4,No
OJD-2020-260-BBA,OJD,L. Breshears Grad Study,Adult Steelhead Acoustic tag study,16,3DD.003DA24FD8,35U,Mark,720,,AT MT RF,,9/16/2020 10:38,9/16/2020 9:38,BONAFF,Adult,,,,BONAFF,234,,19,9/16/2020 10:38,9/16/2020 9:38,BRESHEARS L,ODFW,LADDER,HAND,19,19,,,,45.650051,-121.936302,GPS,,,,1,,,B,ID:53969 1356632,1,,No,,odfw only,Yes,No,MM,4,No
OJD-2020-262-BBA,OJD,L. Breshears Grad Study,Adult Steelhead Acoustic tag study,8,3DD.003DA24F9C,35U,Mark,625,,1< AT MT RF,,9/18/2020 10:02,9/18/2020 9:02,BONAFF,Adult,,,,BONAFF,234,,19,9/18/2020 10:02,9/18/2020 9:02,BRESHEARS L,ODFW,LADDER,HAND,19,19,,,,45.650188,-121.936478,GPS,,,,1,,,B,ID:53965 1356628,1,,No,,odfw only,Yes,No,MM,4,No
OJD-2020-262-BBA,OJD,L. Breshears Grad Study,Adult Steelhead Acoustic tag study,16,3DD.003DA24FB7,35U,Mark,775,,<2 AT MT PA PT RF,,9/18/2020 10:56,9/18/2020 9:56,BONAFF,Adult,,,,BONAFF,234,,19,9/18/2020 10:56,9/18/2020 9:56,BRESHEARS L,ODFW,LADDER,HAND,19,19,,,,45.649921,-121.93615,GPS,,,,1,,,B,ID:53964 1356627,2,,No,,odfw only,Yes,No,MM,3,No
