Session,Project Code,Session Message,Session Note,Record#,PIT Tag,SRR Code,Event Type,Length,Weight,Conditional Comments,Text Comments,Event Date,Event Date (PST),Event Site,Life Stage,Brood Year,Migration Year,Spawn Year,Release Site,RKM Mask,RKM Ext,Release Temp,Release Date,Release Date (PST),Tagger,Organization,Capture Method,Mark Method,Mark Temp,Hold Temp,Raceway/Transect/Tank,Hatchery,Stock,Latitude,Longitude,Lat/Long Source,Detail Note,Second PIT Tag,Coded-Wire Tag,Card,Genetic ID,Scale ID,Coloration,Acoustic Tag,Position,Radio Tag,Stubby Dorsal,Other Tag,CRITFC Comments,Marine Mammal,Hook Damage,Injury,Condition,Net Damage
OJD-2020-216-BBA,OJD,L. Breshears Grad Study,Adult Steelhead Acoustic tag study,4,3DD.003DA24FAB,35U,Mark,750,,1< AT MT RF,,8/3/2020 8:26,8/3/2020 7:26,BONAFF,Adult,,,,BONAFF,234,,19.5,8/3/2020 8:26,8/3/2020 7:26,BRESHEARS L,ODFW,LADDER,HAND,19.5,19.5,,,,45.650059,-121.936546,GPS,,,,1,,,B,ID:16037 1356539,1,,No,,ODFW ONLY,Yes,No,MM,4,No
OJD-2020-216-BBA,OJD,L. Breshears Grad Study,Adult Steelhead Acoustic tag study,5,3DD.003DA24FE0,35U,Mark,720,,1< AT CA FU MT RF,,8/3/2020 8:58,8/3/2020 7:58,BONAFF,Adult,,,,BONAFF,234,,19.5,8/3/2020 8:58,8/3/2020 7:58,BRESHEARS L,ODFW,LADDER,HAND,19.5,19.5,,,,45.649811,-121.936172,GPS,,,,1,,,B,ID:16039 1356540,2,,No,,ODFW ONLY,No,No,,4,No
OJD-2020-216-BBA,OJD,L. Breshears Grad Study,Adult Steelhead Acoustic tag study,13,3DD.003DA24FB4,35U,Mark,565,,1< AT CA MT PA RF,,8/3/2020 9:55,8/3/2020 8:55,BONAFF,Adult,,,,BONAFF,234,,19.5,8/3/2020 9:55,8/3/2020 8:55,BRESHEARS L,ODFW,LADDER,HAND,19.5,19.5,,,,45.649658,-121.936279,GPS,,,,1,,,B,ID:53903 1356566,3,,No,,ODFW ONLY,Yes,No,GASH,4,No
OJD-2020-216-BBA,OJD,L. Breshears Grad Study,Adult Steelhead Acoustic tag study,14,3DD.003DA24FE1,35U,Mark,545,,<2 AT MT RF,,8/3/2020 10:09,8/3/2020 9:09,BONAFF,Adult,,,,BONAFF,234,,19.5,8/3/2020 10:09,8/3/2020 9:09,BRESHEARS L,ODFW,LADDER,HAND,19.5,19.5,,,,,,GPS,,,,1,,,B,ID:53892 1356555,4,,No,,ODFW ONLY,No,No,N,4,YES
OJD-2020-217-BBA,OJD,L. Breshears Grad Study,Adult Steelhead Acoustic tag study,6,3DD.003DA24FF0,35U,Mark,685,,AT MT RF,,8/4/2020 9:24,8/4/2020 8:24,BONAFF,Adult,,,,BONAFF,234,,20,8/4/2020 9:24,8/4/2020 8:24,BRESHEARS L,ODFW,LADDER,HAND,20,20,,,,45.650002,-121.936394,GPS,,,,1,,,B,ID:16047 1356544,1,,No,,ODFW ONLY,No,No,GASH,3,No
OJD-2020-217-BBA,OJD,L. Breshears Grad Study,Adult Steelhead Acoustic tag study,8,3DD.003DA24FB8,35U,Mark,715,,AT MT RF,,8/4/2020 9:35,8/4/2020 8:35,BONAFF,Adult,,,,BONAFF,234,,20,8/4/2020 9:35,8/4/2020 8:35,BRESHEARS L,ODFW,LADDER,HAND,20,20,,,,45.64994,-121.936028,GPS,,,,1,,,B,ID:16045 1356543,2,,No,,ODFW ONLY,No,No,,5,No
OJD-2020-217-BBA,OJD,L. Breshears Grad Study,Adult Steelhead Acoustic tag study,11,3DD.003DA24FC9,35U,Mark,735,,AT MT RF,,8/4/2020 9:53,8/4/2020 8:53,BONAFF,Adult,,,,BONAFF,234,,20,8/4/2020 9:53,8/4/2020 8:53,BRESHEARS L,ODFW,LADDER,HAND,20,20,,,,45.650188,-121.936501,GPS,,,,1,,,B,ID:16053 1356547,3,,No,,ODFW ONLY,No,No,,5,No
OJD-2020-217-BBA,OJD,L. Breshears Grad Study,Adult Steelhead Acoustic tag study,13,3DD.003DA24FD6,35U,Mark,735,,AT MT RF,,8/4/2020 10:06,8/4/2020 9:06,BONAFF,Adult,,,,BONAFF,234,,20,8/4/2020 10:06,8/4/2020 9:06,BRESHEARS L,ODFW,LADDER,HAND,20,20,,,,45.649738,-121.935928,GPS,,,,1,,,B,ID:53900 1356561,4,,No,,ODFW ONLY,Yes,No,MM,4,No
OJD-2020-218-BBA,OJD,L. Breshears Grad Study,Adult Steelhead Acoustic tag study,6,3DD.003DA24FF1,35U,Mark,555,,AT MT RF,,8/5/2020 8:14,8/5/2020 7:14,BONAFF,Adult,,,,BONAFF,234,,20,8/5/2020 8:14,8/5/2020 7:14,BRESHEARS L,ODFW,LADDER,HAND,20,20,,,,45.64996,-121.93647,GPS,,,,1,,,B,ID:16057 1356549,1,,No,,odfw only,No,No,,5,No
OJD-2020-218-BBA,OJD,L. Breshears Grad Study,Adult Steelhead Acoustic tag study,15,3DD.003DA24FB2,35U,Mark,755,,AT CA MT RF,,8/5/2020 9:48,8/5/2020 8:48,BONAFF,Adult,,,,BONAFF,234,,20.5,8/5/2020 9:48,8/5/2020 8:48,BRESHEARS L,ODFW,LADDER,HAND,20.5,20.5,,,,45.64949,-121.936058,GPS,,,,1,,,B,ID:53908 1356571,2,,No,,odfw only,Yes,No,MM,4,No
OJD-2020-219-BBA,OJD,L. Breshears Grad Study,Adult Steelhead Acoustic tag study,2,3DD.003DA24FD2,35U,Mark,695,,AT MT RF,,8/6/2020 7:53,8/6/2020 6:53,BONAFF,Adult,,,,BONAFF,234,,20,8/6/2020 7:53,8/6/2020 6:53,BRESHEARS L,ODFW,LADDER,HAND,20,20,,,,45.649979,-121.935959,GPS,,,,1,,,B,ID:53909 1356572,1,,No,,odfw only,No,No,,5,No
OJD-2020-219-BBA,OJD,L. Breshears Grad Study,Adult Steelhead Acoustic tag study,7,3DD.003DA24FDD,35U,Mark,645,,1< AT MT PA RF,,8/6/2020 9:47,8/6/2020 8:47,BONAFF,Adult,,,,BONAFF,234,,20,8/6/2020 9:47,8/6/2020 8:47,BRESHEARS L,ODFW,LADDER,HAND,20,20,,,,,,GPS,,,,1,,,B,ID:53912 1356575,2,,No,,odfw only,No,yes,HD,5,No
OJD-2020-219-BBA,OJD,L. Breshears Grad Study,Adult Steelhead Acoustic tag study,8,3DD.003DA24FDC,35U,Mark,645,,1< AT MT PA RF,,8/6/2020 9:51,8/6/2020 8:51,BONAFF,Adult,,,,BONAFF,234,,20,8/6/2020 9:51,8/6/2020 8:51,BRESHEARS L,ODFW,LADDER,HAND,20,20,,,,,,GPS,,,,1,,,B,ID:53911 1356574,3,,No,,ODFW ONLY,No,No,,4,No
OJD-2020-223-BBA,OJD,L. Breshears Grad Study,Adult Steelhead Acoustic tag study,1,3DD.003DA24FCC,35U,Mark,635,,1< AT MT RF,,8/10/2020 6:55,8/10/2020 5:55,BONAFF,Adult,,,,BONAFF,234,,19.5,8/10/2020 6:55,8/10/2020 5:55,BRESHEARS L,ODFW,LADDER,HAND,19.5,19.5,,,,,,GPS,,,,1,,,B,ID:53921 1356584,1,,No,,odfw only,No,No,N,4,yes
OJD-2020-223-BBA,OJD,L. Breshears Grad Study,Adult Steelhead Acoustic tag study,5,3DD.003DA24FAC,35U,Mark,775,,AT MT PA RF,,8/10/2020 9:14,8/10/2020 8:14,BONAFF,Adult,,,,BONAFF,234,,19.5,8/10/2020 9:14,8/10/2020 8:14,BRESHEARS L,ODFW,LADDER,HAND,19.5,19.5,,,,,,GPS,,,,1,,,B,ID:53920 1356583,2,,No,,odfw only,No,No,,5,No
