Tag Code,Site First Name,First Antenna Group Name,First Date MMDDYYYY,Site Last Name,Last Antenna Group Name,Last Date MMDDYYYY,Release Date MMDDYYYY,Release Site Name,Mark Conditional Comments Value,Mark Conditional Comments Code,Mark Data Project Code Code,Mark Date MMDDYYYY,Mark Length mm,Mark Organization Name,Mark Organization Code,Mark Temperature C,Run Code,Run Name,Species Code,Species Name,ObsMain Count
3DD.003D53F018,BO3 - Bonneville WA Shore Ladder/AFF,WEIR 52,9/11/2020,GRA - Lower Granite Dam Adult,Ladder Exit,9/30/2020,9/11/2020,BONAFF - BON - Adult Fish Facility,"Descaled Less than 10 Percent, Adipose Fin Clip, Mature, Returning Fish",1&lt; AD MT RF,JKF,9/11/2020,825,Columbia River Inter-Tribal Fish Commission,CRITFC,20,5,Unknown,3,Steelhead,1
3DD.003D53F019,BO3 - Bonneville WA Shore Ladder/AFF,WEIR 52,9/16/2020,GRA - Lower Granite Dam Adult,Ladder Exit,9/29/2020,9/16/2020,BONAFF - BON - Adult Fish Facility,"Descaled Less than 10 Percent, Adipose Fin Clip, Mature, Returning Fish",1&lt; AD MT RF,JKF,9/16/2020,605,Columbia River Inter-Tribal Fish Commission,CRITFC,19.5,5,Unknown,3,Steelhead,1
3DD.003D53F01E,BO3 - Bonneville WA Shore Ladder/AFF,WEIR 56,9/16/2020,GRA - Lower Granite Dam Adult,Ladder Exit,10/1/2020,9/16/2020,BONAFF - BON - Adult Fish Facility,"Descaled Less than 10 Percent, Adipose Fin Clip, Mature, Returning Fish",1&lt; AD MT RF,JKF,9/16/2020,830,Columbia River Inter-Tribal Fish Commission,CRITFC,19.5,5,Unknown,3,Steelhead,1
3DD.003D53F023,BO3 - Bonneville WA Shore Ladder/AFF,WEIR 52,9/11/2020,GOA - Little Goose Fish Ladder,Counting Window,10/18/2020,9/11/2020,BONAFF - BON - Adult Fish Facility,"Adipose Fin Clip, Mature, Parasite, Returning Fish",AD MT PA RF,JKF,9/11/2020,860,Columbia River Inter-Tribal Fish Commission,CRITFC,20,5,Unknown,3,Steelhead,1
3DD.003D53F026,BO3 - Bonneville WA Shore Ladder/AFF,WEIR 52,9/16/2020,JO1 - John Day South Fish Ladder,WEIR 181,9/21/2020,9/16/2020,BONAFF - BON - Adult Fish Facility,"Returning Fish, Mature, Adipose Fin Clip",AD MT RF,JKF,9/16/2020,580,Columbia River Inter-Tribal Fish Commission,CRITFC,19.5,5,Unknown,3,Steelhead,1
3DD.003D53F029,BO3 - Bonneville WA Shore Ladder/AFF,WEIR 52,9/16/2020,GRA - Lower Granite Dam Adult,Ladder Exit,9/30/2020,9/16/2020,BONAFF - BON - Adult Fish Facility,"Returning Fish, Mature, Adipose Fin Clip",AD MT RF,JKF,9/16/2020,760,Columbia River Inter-Tribal Fish Commission,CRITFC,19.5,5,Unknown,3,Steelhead,1
3DD.003D53F02F,BO3 - Bonneville WA Shore Ladder/AFF,WEIR 52,9/16/2020,GRA - Lower Granite Dam Adult,Ladder Exit,10/7/2020,9/16/2020,BONAFF - BON - Adult Fish Facility,"Returning Fish, Mature, Adipose Fin Clip",AD MT RF,JKF,9/16/2020,795,Columbia River Inter-Tribal Fish Commission,CRITFC,19.5,5,Unknown,3,Steelhead,1
3DD.003D53F03A,BO4 - Bonneville WA Ladder Slots,VERTICAL SLOT DETECTORS,9/11/2020,TD1 - The Dalles East Fish Ladder,Counting Window,9/13/2020,9/11/2020,BONAFF - BON - Adult Fish Facility,"Returning Fish, Mature",MT RF,JKF,9/11/2020,860,Columbia River Inter-Tribal Fish Commission,CRITFC,20,5,Unknown,3,Steelhead,1
3DD.003D53F046,BO3 - Bonneville WA Shore Ladder/AFF,WEIR 52,9/16/2020,BO4 - Bonneville WA Ladder Slots,VERTICAL SLOT DETECTORS,9/16/2020,9/16/2020,BONAFF - BON - Adult Fish Facility,"Returning Fish, Mature, Adipose Fin Clip",AD MT RF,JKF,9/16/2020,870,Columbia River Inter-Tribal Fish Commission,CRITFC,19.5,5,Unknown,3,Steelhead,1
3DD.003D53F047,BO3 - Bonneville WA Shore Ladder/AFF,WEIR 52,9/11/2020,GRA - Lower Granite Dam Adult,Ladder Exit,9/27/2020,9/11/2020,BONAFF - BON - Adult Fish Facility,"Descaled Between 11 and 20%, Returning Fish, Mature",&lt;2 MT RF,JKF,9/11/2020,780,Columbia River Inter-Tribal Fish Commission,CRITFC,20,5,Unknown,3,Steelhead,1
